1;Manhente;Este;0.25;21.7;3.9;24.7
2;Roriz;Norte;0.67;11.6;2.6;19.09
3;Vila Boa;Oeste;0.14;17.1;1.7;10.96
4;Varzea;Este;0.8;21.9;1.3;7.04
5;Tamel;Norte;0.64;21.5;1.5;62.16
6;Alvito;Norte;0.33;8.1;3.8;78.15
7;Arcozelo;Este;0.58;8.8;0.8;48.19
8;Oliveira;Este;0.26;10.9;3.1;1.36
9;Fornelos;Oeste;0.5;20.1;1.2;7.09
10;Airo;Este;0.13;11.0;1.5;59.73
11;Fornelos;Oeste;0.51;13.4;2.4;6.19
12;Roriz;Norte;0.56;2.0;1.5;61.57
13;Rio Covo;Sul;0.29;19.9;1.5;38.63
14;Lijo;Norte;0.2;18.6;0.6;8.05
15;Silva;Norte;0.43;23.8;3.6;6.21
16;Vila Boa;Oeste;0.43;11.9;3.6;22.45
17;Gamil;Sul;0.7;9.5;1.0;11.74
18;Carapecos;Norte;0.56;12.5;3.7;85.69
19;Rio Covo;Sul;0.36;0.3;2.0;8.57
20;Barcelinhos;Sul;0.58;16.0;1.7;84.88
21;Pereira;Sul;0.44;19.0;3.1;36.55
22;Varzea;Este;0.46;12.8;1.3;96.16
23;Barcelinhos;Sul;0.16;12.6;1.0;34.43
24;Silva;Norte;0.55;3.5;0.7;19.85
25;Galegos;Este;0.57;22.8;0.9;48.7
26;Lijo;Norte;0.28;18.5;2.6;56.54
27;Oliveira;Este;0.6;11.7;1.2;51.03
28;Varzea;Este;0.24;23.6;3.4;47.37
29;Arcozelo;Este;0.41;2.4;3.3;23.67
30;Lijo;Norte;0.66;10.8;4.0;94.39
